end,mbid,mfcc_0,mfcc_1,mfcc_10,mfcc_11,mfcc_12,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,pitch_confidence_mean,pitch_maximum,pitch_mean,pitch_minimum,pitch_stddev,start
8820,a025eef0-d130-496f-9581-f5ce40bd1783,-1138.4200439453125,1.1444091796875e-05,-2.6702880859375e-05,-3.0517578125e-05,-3.814697265625e-05,-6.103515625e-05,8.0108642578125e-05,-6.103515625e-05,2.288818359375e-05,-2.6702880859375e-05,-5.340576171875e-05,-4.57763671875e-05,-2.288818359375e-05,0.0076323458924889565,225.14413452148438,118.97038269042969,0.0,109.19857025146484,0
16538,a025eef0-d130-496f-9581-f5ce40bd1783,-1138.4200439453125,1.1444091796875e-05,-2.6702880859375e-05,-3.0517578125e-05,-3.814697265625e-05,-6.103515625e-05,8.0108642578125e-05,-6.103515625e-05,2.288818359375e-05,-2.6702880859375e-05,-5.340576171875e-05,-4.57763671875e-05,-2.288818359375e-05,0.0076323458924889565,225.14413452148438,118.97038269042969,0.0,109.19857025146484,7718
24256,a025eef0-d130-496f-9581-f5ce40bd1783,-1138.4200439453125,1.1444091796875e-05,-2.6702880859375e-05,-3.0517578125e-05,-3.814697265625e-05,-6.103515625e-05,8.0108642578125e-05,-6.103515625e-05,2.288818359375e-05,-2.6702880859375e-05,-5.340576171875e-05,-4.57763671875e-05,-2.288818359375e-05,0.0076323458924889565,225.14413452148438,118.97038269042969,0.0,109.19857025146484,15436
31974,a025eef0-d130-496f-9581-f5ce40bd1783,-1138.4200439453125,1.1444091796875e-05,-2.6702880859375e-05,-3.0517578125e-05,-3.814697265625e-05,-6.103515625e-05,8.0108642578125e-05,-6.103515625e-05,2.288818359375e-05,-2.6702880859375e-05,-5.340576171875e-05,-4.57763671875e-05,-2.288818359375e-05,0.0076323458924889565,225.14413452148438,118.97038269042969,0.0,109.19857025146484,23154
39692,a025eef0-d130-496f-9581-f5ce40bd1783,-1138.4200439453125,1.1444091796875e-05,-2.6702880859375e-05,-3.0517578125e-05,-3.814697265625e-05,-6.103515625e-05,8.0108642578125e-05,-6.103515625e-05,2.288818359375e-05,-2.6702880859375e-05,-5.340576171875e-05,-4.57763671875e-05,-2.288818359375e-05,0.0076323458924889565,225.14413452148438,118.97038269042969,0.0,109.19857025146484,30872
52920,a025eef0-d130-496f-9581-f5ce40bd1783,-1138.4200439453125,1.1444091796875e-05,-2.6702880859375e-05,-3.0517578125e-05,-3.814697265625e-05,-6.103515625e-05,8.0108642578125e-05,-6.103515625e-05,2.288818359375e-05,-2.6702880859375e-05,-5.340576171875e-05,-4.57763671875e-05,-2.288818359375e-05,0.0076323458924889565,225.14413452148438,118.97038269042969,0.0,109.19857025146484,44100
60638,a025eef0-d130-496f-9581-f5ce40bd1783,-1138.4200439453125,1.1444091796875e-05,-2.6702880859375e-05,-3.0517578125e-05,-3.814697265625e-05,-6.103515625e-05,8.0108642578125e-05,-6.103515625e-05,2.288818359375e-05,-2.6702880859375e-05,-5.340576171875e-05,-4.57763671875e-05,-2.288818359375e-05,0.0076323458924889565,225.14413452148438,118.97038269042969,0.0,109.19857025146484,51818
68356,a025eef0-d130-496f-9581-f5ce40bd1783,-1138.4200439453125,1.1444091796875e-05,-2.6702880859375e-05,-3.0517578125e-05,-3.814697265625e-05,-6.103515625e-05,8.0108642578125e-05,-6.103515625e-05,2.288818359375e-05,-2.6702880859375e-05,-5.340576171875e-05,-4.57763671875e-05,-2.288818359375e-05,0.0076323458924889565,225.14413452148438,118.97038269042969,0.0,109.19857025146484,59536
76074,a025eef0-d130-496f-9581-f5ce40bd1783,-1138.4200439453125,1.1444091796875e-05,-2.6702880859375e-05,-3.0517578125e-05,-3.814697265625e-05,-6.103515625e-05,8.0108642578125e-05,-6.103515625e-05,2.288818359375e-05,-2.6702880859375e-05,-5.340576171875e-05,-4.57763671875e-05,-2.288818359375e-05,0.0076323458924889565,225.14413452148438,118.97038269042969,0.0,109.19857025146484,67254
83792,a025eef0-d130-496f-9581-f5ce40bd1783,-1138.4200439453125,1.1444091796875e-05,-2.6702880859375e-05,-3.0517578125e-05,-3.814697265625e-05,-6.103515625e-05,8.0108642578125e-05,-6.103515625e-05,2.288818359375e-05,-2.6702880859375e-05,-5.340576171875e-05,-4.57763671875e-05,-2.288818359375e-05,0.0076323458924889565,225.14413452148438,118.97038269042969,0.0,109.19857025146484,74972
97020,a025eef0-d130-496f-9581-f5ce40bd1783,-1120.0096435546875,21.947978973388672,3.5313682556152344,2.11993408203125,-2.453765869140625,12.932586669921875,5.329883575439453,2.3177490234375,1.9055557250976562,0.8356971740722656,-1.0039443969726562,-1.1181259155273438,1.3336944580078125,0.0076323458924889565,225.14413452148438,118.97038269042969,0.0,109.19857025146484,88200
104738,a025eef0-d130-496f-9581-f5ce40bd1783,-1041.97998046875,95.28217315673828,0.059497833251953125,3.5916595458984375,-7.360050201416016,29.128726959228516,-2.163524627685547,-8.21160888671875,1.3350296020507812,8.418338775634766,-4.83319091796875,-13.395462036132812,-6.497520446777344,0.0076323458924889565,225.14413452148438,118.97038269042969,0.0,109.19857025146484,95918
112456,a025eef0-d130-496f-9581-f5ce40bd1783,-937.2536010742188,137.57293701171875,-1.9690055847167969,9.524856567382812,8.781547546386719,-11.649917602539062,0.4501838684082031,-11.817485809326172,-14.814292907714844,-1.7634544372558594,-26.80481719970703,-18.646812438964844,1.2882308959960938,0.0076323458924889565,225.14413452148438,118.97038269042969,0.0,109.19857025146484,103636
120174,a025eef0-d130-496f-9581-f5ce40bd1783,-872.7344360351562,141.036376953125,-9.944028854370117,-0.5612030029296875,4.335502624511719,-38.7747917175293,21.186817169189453,-18.13186264038086,-10.75518798828125,3.7961463928222656,-38.17433166503906,-18.829345703125,-5.006874084472656,0.0076323458924889565,225.14413452148438,118.97038269042969,0.0,109.19857025146484,111354
127892,a025eef0-d130-496f-9581-f5ce40bd1783,-816.0997924804688,148.27630615234375,-7.223857879638672,-9.627910614013672,-1.9538078308105469,-42.709720611572266,25.947513580322266,-14.110099792480469,-16.63693618774414,5.572872161865234,-33.93317794799805,-15.145471572875977,2.2123146057128906,0.0076323458924889565,225.14413452148438,118.97038269042969,0.0,109.19857025146484,119072
141120,a025eef0-d130-496f-9581-f5ce40bd1783,-770.6724243164062,155.54896545410156,-4.287784576416016,-6.321342468261719,-1.1850414276123047,-34.38806915283203,21.157493591308594,-20.934017181396484,-19.258602142333984,6.289794921875,-33.612056732177734,-18.551815032958984,2.843372344970703,0.0076323458924889565,225.14413452148438,118.97038269042969,0.0,109.19857025146484,132300
148838,a025eef0-d130-496f-9581-f5ce40bd1783,-752.6649169921875,144.67196655273438,-7.127315521240234,-6.027557373046875,1.4743537902832031,-37.7164306640625,28.667224884033203,-19.909740447998047,-10.55069351196289,10.438751220703125,-35.01325225830078,-13.543523788452148,7.413932800292969,0.0076323458924889565,225.14413452148438,118.97038269042969,0.0,109.19857025146484,140018
156556,a025eef0-d130-496f-9581-f5ce40bd1783,-756.4424438476562,161.93283081054688,-11.596668243408203,-8.224128723144531,2.078784942626953,-38.342403411865234,41.7379264831543,-21.296649932861328,-15.697368621826172,6.8592529296875,-40.03798294067383,-19.643035888671875,1.308074951171875,0.0076323458924889565,225.14413452148438,118.97038269042969,0.0,109.19857025146484,147736
164274,a025eef0-d130-496f-9581-f5ce40bd1783,-755.4263916015625,156.40179443359375,-12.97222900390625,-4.351581573486328,3.743267059326172,-39.439083099365234,39.11115264892578,-14.000293731689453,-10.826248168945312,10.585205078125,-38.85090255737305,-19.88810920715332,1.7206077575683594,0.0076323458924889565,225.14413452148438,118.97038269042969,0.0,109.19857025146484,155454
171992,a025eef0-d130-496f-9581-f5ce40bd1783,-740.2064819335938,164.30455017089844,-15.131031036376953,-1.4505615234375,-1.86920166015625,-29.005298614501953,30.50664520263672,-17.669837951660156,-7.712375640869141,10.78326416015625,-38.02219772338867,-13.486824035644531,-2.242156982421875,0.0076323458924889565,225.14413452148438,118.97038269042969,0.0,109.19857025146484,163172
185220,a025eef0-d130-496f-9581-f5ce40bd1783,-755.7758178710938,172.85142517089844,-9.539844512939453,-8.845779418945312,-1.4014530181884766,-25.40680694580078,26.364364624023438,-23.24850082397461,-6.099769592285156,12.41707992553711,-29.347793579101562,-12.606683731079102,-2.4154014587402344,0.0076323458924889565,225.14413452148438,118.97038269042969,0.0,109.19857025146484,176400
192938,a025eef0-d130-496f-9581-f5ce40bd1783,-761.8071899414062,180.56942749023438,-5.183750152587891,-6.408702850341797,-2.5962581634521484,-24.25942611694336,29.996078491210938,-30.032012939453125,-11.955921173095703,8.21285629272461,-33.7596435546875,-17.055700302124023,1.3726119995117188,0.0076323458924889565,225.14413452148438,118.97038269042969,0.0,109.19857025146484,184118
200656,a025eef0-d130-496f-9581-f5ce40bd1783,-765.4752197265625,183.0264129638672,-0.5141525268554688,-10.64345932006836,-1.6444129943847656,-31.210567474365234,27.844200134277344,-25.41327667236328,-10.634979248046875,8.751079559326172,-37.532325744628906,-17.53351593017578,0.4431037902832031,0.0076323458924889565,225.14413452148438,118.97038269042969,0.0,109.19857025146484,191836
208374,a025eef0-d130-496f-9581-f5ce40bd1783,-772.618408203125,186.36122131347656,-5.349025726318359,-3.223712921142578,0.034137725830078125,-25.143741607666016,25.542282104492188,-20.06981658935547,-17.19507598876953,3.6555862426757812,-37.27110290527344,-18.72337532043457,-5.093757629394531,0.0076323458924889565,225.14413452148438,118.97038269042969,0.0,109.19857025146484,199554
216092,a025eef0-d130-496f-9581-f5ce40bd1783,-770.2550048828125,180.9280242919922,1.6781845092773438,-3.6533775329589844,1.2839546203613281,-23.012496948242188,24.167766571044922,-18.85126495361328,-10.110309600830078,7.780841827392578,-37.0917854309082,-20.179141998291016,-2.671314239501953,0.0076323458924889565,225.14413452148438,118.97038269042969,0.0,109.19857025146484,207272
229320,a025eef0-d130-496f-9581-f5ce40bd1783,-772.1470336914062,175.2581787109375,-1.4643592834472656,-5.888526916503906,-6.7282867431640625,-14.331607818603516,26.079795837402344,-13.529449462890625,-11.199504852294922,5.342525482177734,-27.880126953125,-21.978595733642578,-7.368141174316406,0.0076323458924889565,225.14413452148438,118.97038269042969,0.0,109.19857025146484,220500
237038,a025eef0-d130-496f-9581-f5ce40bd1783,-779.3859252929688,168.74636840820312,1.4453201293945312,-5.016429901123047,-6.10481071472168,-8.488029479980469,23.412918090820312,-10.117866516113281,-9.79879379272461,7.314426422119141,-26.628047943115234,-19.21256446838379,-0.37406158447265625,0.0076323458924889565,225.14413452148438,118.97038269042969,0.0,109.19857025146484,228218
244756,a025eef0-d130-496f-9581-f5ce40bd1783,-792.77099609375,173.8039093017578,-5.3551177978515625,-1.6694145202636719,-1.2380561828613281,-15.85982894897461,29.96025848388672,-8.393028259277344,-8.264541625976562,6.766242980957031,-24.165786743164062,-11.681171417236328,-4.174713134765625,0.0076323458924889565,225.14413452148438,118.97038269042969,0.0,109.19857025146484,235936
252474,a025eef0-d130-496f-9581-f5ce40bd1783,-787.8903198242188,165.7325439453125,-3.1798973083496094,-2.332286834716797,-1.7732887268066406,-15.118053436279297,30.883281707763672,-12.946434020996094,-5.242916107177734,10.32735824584961,-27.950607299804688,-15.808170318603516,-4.76055908203125,0.0076323458924889565,225.14413452148438,118.97038269042969,0.0,109.19857025146484,243654
260192,a025eef0-d130-496f-9581-f5ce40bd1783,-785.8692626953125,165.23745727539062,-6.207477569580078,-4.661823272705078,-7.911321640014648,-6.818035125732422,26.226600646972656,-9.21240234375,-13.270187377929688,0.1937255859375,-27.865074157714844,-20.494230270385742,-9.099639892578125,0.0076323458924889565,225.14413452148438,118.97038269042969,0.0,109.19857025146484,251372
273420,a025eef0-d130-496f-9581-f5ce40bd1783,-843.4822998046875,161.75376892089844,-6.224189758300781,2.114421844482422,-0.182464599609375,-10.741535186767578,23.027355194091797,-0.15892410278320312,-18.794288635253906,3.5268211364746094,-16.818374633789062,-14.773637771606445,-5.422534942626953,0.0076323458924889565,225.14413452148438,118.97038269042969,0.0,109.19857025146484,264600
281138,a025eef0-d130-496f-9581-f5ce40bd1783,-849.6659545898438,168.8444061279297,-8.702247619628906,-0.7463760375976562,-2.026416778564453,-7.775230407714844,28.911380767822266,9.103687286376953,-21.060806274414062,-3.67510986328125,-24.698379516601562,-18.147052764892578,-7.947986602783203,0.0076323458924889565,225.14413452148438,118.97038269042969,0.0,109.19857025146484,272318
288856,a025eef0-d130-496f-9581-f5ce40bd1783,-895.2694702148438,159.04063415527344,-4.754539489746094,-5.410434722900391,-7.478336334228516,18.456954956054688,8.687091827392578,-0.7331275939941406,-20.363662719726562,-13.597320556640625,-26.821224212646484,-22.395198822021484,-9.060016632080078,0.0076323458924889565,225.14413452148438,118.97038269042969,0.0,109.19857025146484,280036
296574,a025eef0-d130-496f-9581-f5ce40bd1783,-930.7517700195312,128.9355926513672,-2.099742889404297,-0.8692245483398438,-0.3623161315917969,39.450347900390625,21.641258239746094,4.737785339355469,-14.661075592041016,-14.192972183227539,-22.174423217773438,-15.432083129882812,-4.1262664794921875,0.0076323458924889565,225.14413452148438,118.97038269042969,0.0,109.19857025146484,287754
304292,a025eef0-d130-496f-9581-f5ce40bd1783,-988.4024047851562,117.23030853271484,-4.317684173583984,-3.2992324829101562,-3.5882835388183594,50.017974853515625,22.113399505615234,10.86227798461914,0.8642692565917969,-1.5897064208984375,-15.424915313720703,-11.086969375610352,-4.807159423828125,0.0076323458924889565,225.14413452148438,118.97038269042969,0.0,109.19857025146484,295472
317520,a025eef0-d130-496f-9581-f5ce40bd1783,-987.0391235351562,86.77497863769531,-3.1320037841796875,-1.5572776794433594,1.4951858520507812,38.977813720703125,23.166034698486328,18.970603942871094,7.356290817260742,7.8156280517578125,-0.9236984252929688,-1.6328201293945312,-1.0425682067871094,0.0076323458924889565,225.14413452148438,118.97038269042969,0.0,109.19857025146484,308700
